RX Date/Time,(Mission Status) Flight state [-],(Mission Status) Runtime [ms],(Mission Status) Soft enabled [-],(Mission Status) Armed [-],(Mission Status) BW connected [-],(Mission Status) Camera enabled [-],(RF status) Packet count,(RF status) RSSI [dB],(RF status) CRC error [-],(RF status) Packet delay [ms],(RF status) Selected antenna [-],(Sensor Readings) Temperature [°C],(Sensor Readings) Altitude [m],(Sensor Readings) Pressure [KPa],(Sensor Readings) Battery voltage [V],(Sensor Readings) External Temperature [°C],(GPS) GPS Time,(GPS) Longitude [°N],(GPS) Latitude [°E],(GPS) Altitude [m],(GPS) No. Sats,(Accelerometer) X [m/s^2],(Accelerometer) Y [m/s^2],(Accelerometer) Z [m/s^2],(Gyroscope) X [rad/s],(Gyroscope) Y [rad/s],(Gyroscope) Z [rad/s],(Orientation) w [-],(Orientation) x [-],(Orientation) y [-],(Orientation) z [-]
2021/05/28/ 09:26:06::238,1,16037,0,1,0,1,559,-96,0,25,1,21.25,0.125,101.977997,8.15,21.25,16037,5.922696,52.394821,0.125,0,0.81356,8.882157,-2.584249,-0.073304,0.017104,0.133169,0,0.017104,-0.073304,-2.584249
2021/05/28/ 09:26:06::319,1,16062,0,1,0,1,560,-93,0,25,1,21.25,0.0625,101.978996,8.15,21.25,16062,5.922696,52.394821,0.0625,0,1.052842,10.279566,0.9667,-0.013439,0.003665,0.103847,0,0.003665,-0.013439,0.9667
2021/05/28/ 09:26:06::320,1,16087,0,1,0,1,561,-94,1,25,1,38.25,12.875,100.954002,8.17,38.25,16087,5.922696,52.394821,12.875,0,2.096113,10.030712,-0.095713,0.069639,0.140499,0.048869,0,0.140499,0.069639,-0.095713
2021/05/28/ 09:26:06::320,1,16112,0,1,0,1,562,-96,0,25,1,21.25,0.0625,101.978996,8.14,21.25,16112,5.922696,52.394821,0.0625,0,0.995414,9.858429,1.330409,-0.001222,0.113621,-0.029322,0,0.113621,-0.001222,1.330409
2021/05/28/ 09:26:06::320,1,16137,0,1,0,1,563,-95,0,25,1,21.25,0.0625,101.978996,8.17,21.25,16137,5.922696,52.394821,0.0625,0,-0.325424,9.322437,-1.799403,0.048869,-0.026878,-0.09896,0,-0.026878,0.048869,-1.799403
2021/05/28/ 09:26:06::369,1,16162,0,1,0,1,564,-96,0,25,1,21.25,0.125,101.978996,8.17,21.25,16162,5.922696,52.394821,0.125,0,0.401994,9.580862,-1.48355,0.040317,-0.191812,-0.157603,0,-0.191812,0.040317,-1.48355
2021/05/28/ 09:26:06::369,1,16187,0,1,0,1,565,-95,0,25,1,21.25,0.0625,101.978996,8.15,21.25,16187,5.922696,52.394821,0.0625,0,1.349552,10.547563,-0.497707,0.002443,-0.217468,-0.193033,0,-0.217468,0.002443,-0.497707
2021/05/28/ 09:26:06::421,1,16212,0,1,0,1,566,-96,0,25,1,21.25,0.0625,101.978996,8.15,21.25,16212,5.922696,52.394821,0.0625,0,0.229711,9.925428,-0.334995,-0.051313,-0.051313,-0.202807,0,-0.051313,-0.051313,-0.334995
2021/05/28/ 09:26:06::422,1,16237,0,1,0,1,567,-95,0,25,1,21.25,0.0625,101.978996,8.15,21.25,16237,5.922696,52.394821,0.0625,0,-0.555135,10.327422,0.794417,-0.054978,0.015882,-0.216246,0,0.015882,-0.054978,0.794417
2021/05/28/ 09:26:06::470,1,16262,0,1,0,1,568,-95,0,25,1,21.25,0.0625,101.978996,8.14,21.25,16262,5.922696,52.394821,0.0625,0,0.344566,10.049855,-0.267996,-0.048869,0.023213,-0.22602,0,0.023213,-0.048869,-0.267996
2021/05/28/ 09:26:06::470,1,16287,0,1,0,1,569,-94,0,25,1,21.25,0.0625,101.978996,8.16,21.25,16287,5.922696,52.394821,0.0625,0,-1.751546,10.021141,-0.105284,-0.029322,-0.081856,-0.212581,0,-0.081856,-0.029322,-0.105284
2021/05/28/ 09:26:06::601,1,16404,0,1,0,1,570,-93,0,117,1,21.25,0.125,101.978996,8.15,21.25,16404,5.922696,52.394821,0.125,0,-2.354537,9.274581,-4.536792,-0.072082,0.114843,-0.092852,0,0.114843,-0.072082,-4.536792
2021/05/28/ 09:26:06::641,1,16429,0,1,0,1,571,-93,0,25,1,21.25,0.0625,101.978996,8.17,21.25,16429,5.922696,52.394821,0.0625,0,-0.478565,9.073584,-1.952543,-0.111177,0.07086,-0.065973,0,0.07086,-0.111177,-1.952543
2021/05/28/ 09:26:06::641,1,16454,0,1,0,1,572,-93,0,25,1,21.25,0.0625,101.978996,8.17,21.25,16454,5.922696,52.394821,0.0625,0,0.449851,10.805987,5.848059,-0.105069,0.133169,-0.039095,0,0.133169,-0.105069,5.848059
2021/05/28/ 09:26:06::690,1,16479,0,1,0,1,573,-94,0,25,1,21.25,0.125,101.978996,8.17,21.25,16479,5.922696,52.394821,0.125,0,-0.784846,10.585847,2.239682,-0.097738,0.211359,-0.013439,0,0.211359,-0.097738,2.239682
2021/05/28/ 09:26:06::690,1,16504,0,1,0,1,574,-94,0,25,1,21.25,0.125,101.978996,8.18,21.25,16504,5.922696,52.394821,0.125,0,0.727418,11.332408,5.895915,-0.146608,0.224798,0.017104,0,0.224798,-0.146608,5.895915
2021/05/28/ 09:26:06::739,1,16529,0,1,0,1,575,-93,0,25,1,21.25,0.125,101.978996,8.15,21.25,16529,5.922696,52.394821,0.125,0,-1.148555,9.600004,-2.383251,-0.173486,0.120951,0.0562,0,0.120951,-0.173486,-2.383251
2021/05/28/ 09:26:06::739,1,16554,0,1,0,1,576,-93,0,25,1,21.25,0.0625,101.978996,8.15,21.25,16554,5.922696,52.394821,0.0625,0,0.459422,10.365707,-4.402794,-0.238237,0.064752,0.067195,0,0.064752,-0.238237,-4.402794
2021/05/28/ 09:26:06::787,1,16579,0,1,0,1,577,-92,0,25,1,21.25,0.125,101.978996,8.13,21.25,16579,5.922696,52.394821,0.125,0,0.478565,9.073584,-1.167697,-0.260229,0.175929,0.096517,0,0.175929,-0.260229,-1.167697
2021/05/28/ 09:26:06::787,1,16604,0,1,0,1,578,-92,0,25,1,21.25,0.125,101.978996,8.14,21.25,16604,5.922696,52.394821,0.125,0,-0.143569,9.370294,3.598805,-0.15516,0.229685,0.108734,0,0.229685,-0.15516,3.598805
2021/05/28/ 09:26:06::834,1,16629,0,1,0,1,579,-92,0,25,1,21.25,0.125,101.978996,8.16,21.25,16629,5.922696,52.394821,0.125,0,-0.957129,10.097712,6.412765,-0.059865,0.073304,0.114843,0,0.073304,-0.059865,6.412765
2021/05/28/ 09:26:06::835,1,16654,0,1,0,1,580,-92,0,25,1,21.25,0.0625,101.978996,8.17,21.25,16654,5.922696,52.394821,0.0625,0,0.153141,9.906285,1.646262,0.083078,-0.224798,0.09896,0,-0.224798,0.083078,1.646262
2021/05/28/ 09:26:06::891,1,16679,0,1,0,1,581,-92,0,25,1,21.25,0.0625,101.978996,8.15,21.25,16679,5.922696,52.394821,0.0625,0,-0.114855,9.695718,-0.736989,0.124617,-0.043982,0.074526,0,-0.043982,0.124617,-0.736989
2021/05/28/ 09:26:06::891,1,16704,0,1,0,1,582,-92,0,25,1,21.25,0.0625,101.978996,8.16,21.25,16704,5.922696,52.394821,0.0625,0,0.918844,10.356136,0.258425,0.120951,0.014661,0.036652,0,0.014661,0.120951,0.258425
2021/05/28/ 09:26:06::945,1,16729,0,1,0,1,583,-93,0,25,1,21.25,0.125,101.977997,8.17,21.25,16729,5.922696,52.394821,0.125,0,1.129412,10.939985,0.248854,0.059865,-0.042761,0.001222,0,-0.042761,0.059865,0.248854
2021/05/28/ 09:26:06::945,1,16754,0,1,0,1,584,-93,0,25,1,21.25,0.125,101.977997,8.14,21.25,16754,5.922696,52.394821,0.125,0,0.411565,9.973285,0.392423,-0.050091,-0.113621,-0.0281,0,-0.113621,-0.050091,0.392423
2021/05/28/ 09:26:06::991,1,16779,0,1,0,1,585,-94,0,25,1,21.25,0.0625,101.978996,8.17,21.25,16779,5.922696,52.394821,0.0625,0,1.215554,11.313266,4.488935,-0.031765,-0.141721,-0.065973,0,-0.141721,-0.031765,4.488935
2021/05/28/ 09:26:06::991,1,16804,0,1,0,1,586,-94,0,25,1,21.25,0.125,101.978996,8.15,21.25,16804,5.922696,52.394821,0.125,0,1.349552,9.619147,3.742375,0.00733,-0.087965,-0.102625,0,-0.087965,0.00733,3.742375
2021/05/28/ 09:26:07::041,1,16829,0,1,0,1,587,-94,0,25,1,21.25,0.125,101.977997,8.18,21.25,16829,5.922696,52.394821,0.125,0,0.430708,11.868401,3.541378,0.410501,-0.074526,-0.025656,0,-0.074526,0.410501,3.541378
2021/05/28/ 09:26:07::041,1,16854,0,1,0,1,588,-94,0,25,1,21.25,0.125,101.978996,8.14,21.25,16854,5.922696,52.394821,0.125,0,0.899701,8.614161,8.949157,-0.432493,-0.177151,-0.095295,0,-0.177151,-0.432493,8.949157
2021/05/28/ 09:26:07::088,1,16879,0,1,0,1,589,-95,0,25,1,21.25,0.125,101.977997,8.15,21.25,16879,5.922696,52.394821,0.125,0,-0.698704,8.269595,4.096512,-0.260229,-0.111177,-0.080634,0,-0.111177,-0.260229,4.096512
2021/05/28/ 09:26:07::088,1,16904,0,1,0,1,590,-94,0,25,1,21.25,0.125,101.978996,8.15,21.25,16904,5.922696,52.394821,0.125,0,-0.937986,9.41815,2.163112,-0.196699,0.00733,-0.081856,0,0.00733,-0.196699,2.163112
2021/05/28/ 09:26:07::144,1,16929,0,1,0,1,591,-94,1,25,1,21.25,0.125,101.977997,8.17,21.25,16929,5.922696,52.394821,0.125,0,0.038285,9.896714,4.508078,-0.219911,0.041539,-0.117286,0,0.041539,-0.219911,4.508078
2021/05/28/ 09:26:07::144,1,16954,0,1,0,1,592,-94,0,25,1,21.25,0.0625,101.978996,8.17,21.25,16954,5.922696,52.394821,0.0625,0,-0.172283,9.695718,1.454836,-0.136834,-0.042761,-0.079412,0,-0.042761,-0.136834,1.454836
2021/05/28/ 09:26:07::180,1,16979,0,1,0,1,593,-94,0,25,1,21.25,0.125,101.978996,8.14,21.25,16979,5.922696,52.394821,0.125,0,-0.105284,11.274981,1.368695,-0.095295,-0.068417,-0.095295,0,-0.068417,-0.095295,1.368695
2021/05/28/ 09:26:07::224,1,17004,0,1,0,1,594,-95,0,25,1,21.25,0.125,101.978996,8.17,21.25,17004,5.922696,52.394821,0.125,0,-0.267996,9.954143,-0.430708,-0.102625,-0.017104,-0.084299,0,-0.017104,-0.102625,-0.430708
2021/05/28/ 09:26:07::224,1,17029,0,1,0,1,595,-95,0,25,1,21.25,0.125,101.977997,8.17,21.25,17029,5.922696,52.394821,0.125,0,-0.81356,9.600004,-0.870987,-0.09896,0.051313,-0.061087,0,0.051313,-0.09896,-0.870987
2021/05/28/ 09:26:07::278,1,17054,0,1,0,1,596,-95,0,25,1,21.25,0.125,101.978996,8.15,21.25,17054,5.922696,52.394821,0.125,0,-0.363709,9.944571,1.56012,-0.092852,0.042761,-0.043982,0,0.042761,-0.092852,1.56012
2021/05/28/ 09:26:07::278,1,17079,0,1,0,1,597,-95,0,25,1,21.25,0.0625,101.978996,8.15,21.25,17079,5.922696,52.394821,0.0625,0,0.114855,10.394422,3.110669,-0.112399,-0.008552,-0.040317,0,-0.008552,-0.112399,3.110669
2021/05/28/ 09:26:07::317,1,17104,0,1,0,1,598,-95,0,25,1,21.25,0.0625,101.978996,8.17,21.25,17104,5.922696,52.394821,0.0625,0,-0.334995,10.547563,1.024128,-0.087965,0.053756,-0.043982,0,0.053756,-0.087965,1.024128
2021/05/28/ 09:26:07::407,1,17221,0,1,0,1,599,-97,0,117,1,21.25,0.125,101.978996,8.16,21.25,17221,5.922696,52.394821,0.125,0,-0.430708,9.466006,-1.081556,-0.040317,-0.080634,-0.059865,0,-0.080634,-0.040317,-1.081556
2021/05/28/ 09:26:07::449,1,17271,0,1,0,1,600,-98,0,49,1,21.25,0.125,101.977997,8.14,21.25,17271,5.922696,52.394821,0.125,0,-0.698704,9.877572,-0.105284,0.047647,0.061087,-0.087965,0,0.061087,0.047647,-0.105284
2021/05/28/ 09:26:07::491,1,17296,0,1,0,1,601,-99,0,25,1,21.25,0.125,101.978996,8.14,21.25,17296,5.922696,52.394821,0.125,0,-1.942972,10.470992,3.244668,-0.006109,-0.0281,-0.087965,0,-0.0281,-0.006109,3.244668
2021/05/28/ 09:26:07::543,1,17321,0,1,0,1,602,-100,0,25,1,21.25,0.125,101.978996,8.17,21.25,17321,5.922696,52.394821,0.125,0,-1.387837,10.557134,3.550949,0.193033,-0.186925,-0.069639,0,-0.186925,0.193033,3.550949
2021/05/28/ 09:26:07::543,1,17346,0,1,0,1,603,-100,0,25,1,21.25,0.1875,101.977997,8.17,21.25,17346,5.922696,52.394821,0.1875,0,-2.67039,9.609575,0.363709,0.174707,-0.026878,-0.050091,0,-0.026878,0.174707,0.363709
2021/05/28/ 09:26:07::589,1,17371,0,1,0,1,604,-100,0,25,1,21.25,0.125,101.978996,8.16,21.25,17371,5.922696,52.394821,0.125,0,-1.847259,10.279566,1.569692,0.090408,0.020769,-0.015882,0,0.020769,0.090408,1.569692
2021/05/28/ 09:26:07::590,1,17396,0,1,0,1,605,-100,0,25,1,21.25,0.125,101.977997,8.17,21.25,17396,5.922696,52.394821,0.125,0,-2.143969,9.456435,-1.426122,0.191812,-0.169821,0.017104,0,-0.169821,0.191812,-1.426122
2021/05/28/ 09:26:07::638,1,17421,0,1,0,1,606,-101,0,25,1,21.25,0.1875,101.977997,8.17,21.25,17421,5.922696,52.394821,0.1875,0,-0.306281,9.868001,-0.344566,0.146608,-0.160047,0.032987,0,-0.160047,0.146608,-0.344566
2021/05/28/ 09:26:07::638,1,17446,0,1,0,1,607,-100,1,25,1,21.25,0.1875,101.977997,8.17,21.25,17446,5.922696,52.394821,0.1875,0,-0.162712,9.753145,-1.081556,0.123395,-15.07371,15.040724,0,-15.07371,0.123395,-1.081556
2021/05/28/ 09:26:07::686,1,17471,0,1,0,1,608,-101,0,25,1,21.25,0.125,101.977997,8.15,21.25,17471,5.922696,52.394821,0.125,0,0.784846,10.126426,0.478565,0.171042,0.026878,-0.003665,0,0.026878,0.171042,0.478565
2021/05/28/ 09:26:07::686,1,17496,0,1,0,1,609,-99,0,25,1,21.25,0.125,101.978996,8.17,21.25,17496,5.922696,52.394821,0.125,0,-0.258425,10.394422,-0.976272,0.136834,0.037874,-0.03543,0,0.037874,0.136834,-0.976272
2021/05/28/ 09:26:07::734,1,17521,0,1,0,1,610,-101,0,25,1,21.25,0.125,101.978996,8.17,21.25,17521,5.922696,52.394821,0.125,0,-0.708275,8.748159,-2.756532,0.094073,-0.020769,-0.032987,0,-0.020769,0.094073,-2.756532
2021/05/28/ 09:26:07::734,1,17546,0,1,0,1,611,-101,0,25,1,21.25,0.125,101.978996,8.14,21.25,17546,5.922696,52.394821,0.125,0,-0.81356,10.423136,-0.746561,0.125838,-0.067195,-0.00733,0,-0.067195,0.125838,-0.746561
2021/05/28/ 09:26:07::774,1,17571,0,1,0,1,612,-101,0,25,1,21.25,0.125,101.977997,8.16,21.25,17571,5.922696,52.394821,0.125,0,-0.325424,10.863415,1.253839,0.100182,0.034208,-0.004887,0,0.034208,0.100182,1.253839
2021/05/28/ 09:26:07::774,1,17596,0,1,0,1,613,-102,0,25,1,21.25,0.1875,101.977997,8.17,21.25,17596,5.922696,52.394821,0.1875,0,-0.899701,10.729417,-0.191426,-0.018326,0.139277,-0.018326,0,0.139277,-0.018326,-0.191426
2021/05/28/ 09:26:07::870,1,17621,0,1,0,1,614,-101,0,25,1,21.25,0.125,101.977997,8.16,21.25,17621,5.922696,52.394821,0.125,0,-1.454836,10.547563,2.545963,0.015882,0.068417,-0.026878,0,0.068417,0.015882,2.545963
2021/05/28/ 09:26:07::870,1,17646,0,1,0,1,615,-101,0,25,1,21.25,0.1875,101.977997,8.17,21.25,17646,5.922696,52.394821,0.1875,0,0.267996,8.997013,-1.225125,0.025656,0.017104,-0.036652,0,0.017104,0.025656,-1.225125
2021/05/28/ 09:26:07::916,1,17696,0,1,0,1,616,-101,0,51,1,21.25,0.1875,101.977997,8.16,21.25,17696,5.922696,52.394821,0.1875,0,0.37328,9.274581,-2.306681,-0.079412,0.100182,-0.053756,0,0.100182,-0.079412,-2.306681
2021/05/28/ 09:26:07::916,1,17721,0,1,0,1,617,-101,0,25,1,21.25,0.125,101.977997,8.16,21.25,17721,5.922696,52.394821,0.125,0,-0.880559,9.178867,-2.565106,-0.031765,0.240681,-0.080634,0,0.240681,-0.031765,-2.565106
2021/05/28/ 09:46:46::277,4,671938,1,1,1,1,24273,-102,0,25,1,41.5,-0.375,101.987,7.99,41.5,671938,5.922696,52.394821,-0.375,0,-0.880559,9.628718,-0.267996,0,-0.012217,-0.010996,0,-0.012217,0,-0.267996
2021/05/28/ 09:46:46::306,4,671963,1,1,1,1,24274,-102,0,25,1,41.5,-0.3125,101.986,7.98,41.5,671963,5.922696,52.394821,-0.3125,0,-0.89013,9.79143,-0.172283,-0.006109,-0.010996,-0.010996,0,-0.010996,-0.006109,-0.172283
2021/05/28/ 09:46:46::346,4,671988,1,1,1,1,24275,-102,0,25,1,41.5,-0.375,101.987,7.97,41.5,671988,5.922696,52.394821,-0.375,0,-1.024128,9.638289,-0.143569,-0.003665,-0.010996,-0.012217,0,-0.010996,-0.003665,-0.143569
2021/05/28/ 09:46:46::346,4,672013,1,1,1,1,24276,-102,0,25,1,41.5,-0.3125,101.986,7.99,41.5,672013,5.922696,52.394821,-0.3125,0,-1.138984,9.647861,-0.287139,0.001222,-0.008552,-0.012217,0,-0.008552,0.001222,-0.287139
2021/05/28/ 09:46:46::388,4,672038,1,1,1,1,24277,-101,0,25,1,41.5,-0.3125,101.986,7.98,41.5,672038,5.922696,52.394821,-0.3125,0,-0.947558,9.858429,-0.267996,-0.004887,-0.00733,-0.010996,0,-0.00733,-0.004887,-0.267996
2021/05/28/ 09:46:47::695,4,672063,1,1,1,1,24278,-102,0,25,1,41.5,-0.375,101.987,7.98,41.5,672063,5.922696,52.394821,-0.375,0,-1.167697,9.724431,-0.210568,-0.006109,-0.008552,-0.009774,0,-0.008552,-0.006109,-0.210568
2021/05/28/ 09:46:47::695,4,672088,1,1,1,1,24279,-102,0,25,1,41.5,-0.375,101.986,7.97,41.5,672088,5.922696,52.394821,-0.375,0,-0.9667,9.686146,-0.287139,-0.003665,-0.009774,-0.009774,0,-0.009774,-0.003665,-0.287139
2021/05/28/ 09:46:47::695,4,672113,1,1,1,1,24280,-101,0,25,1,41.5,-0.375,101.987,7.97,41.5,672113,5.922696,52.394821,-0.375,0,-0.870987,9.686146,-0.37328,-0.004887,-0.008552,-0.009774,0,-0.008552,-0.004887,-0.37328
2021/05/28/ 09:46:47::695,4,672138,1,1,1,1,24281,-101,0,25,1,41.5,-0.3125,101.986,7.98,41.5,672138,5.922696,52.394821,-0.3125,0,-1.119841,9.647861,-0.210568,-0.006109,-0.009774,-0.010996,0,-0.009774,-0.006109,-0.210568
2021/05/28/ 09:46:47::695,4,672163,1,1,1,1,24282,-102,0,25,1,41.5,-0.3125,101.986,7.99,41.5,672163,5.922696,52.394821,-0.3125,0,-1.024128,9.695718,-0.239282,-0.001222,-0.009774,-0.009774,0,-0.009774,-0.001222,-0.239282
2021/05/28/ 09:46:47::695,4,672188,1,1,1,1,24283,-97,1,25,1,41.5,-0.3125,101.986,7.98,41.5,672188,5.922696,52.394821,-0.3125,0,-1.091127,9.848858,-0.497707,0.001222,-0.010996,-0.009774,0,-0.010996,0.001222,-0.497707
2021/05/28/ 09:46:47::695,4,672213,1,1,1,1,24284,-102,0,25,1,41.5,-0.3125,101.986,7.99,41.5,672213,5.922696,52.394821,-0.3125,0,-1.129412,9.657433,-0.239282,0.001222,-0.009774,-0.014661,0,-0.009774,0.001222,-0.239282
2021/05/28/ 09:46:47::696,4,672238,1,1,1,1,24285,-101,0,25,1,41.5,-0.3125,101.986,7.96,41.5,672238,5.922696,52.394821,-0.3125,0,-0.995414,9.724431,-0.344566,-0.003665,-0.009774,-0.010996,0,-0.009774,-0.003665,-0.344566
2021/05/28/ 09:46:47::696,4,672263,1,1,1,1,24286,-102,0,25,1,41.5,-0.3125,101.986,7.99,41.5,672263,5.922696,52.394821,-0.3125,0,-0.870987,9.753145,-0.181855,-0.004887,-0.00733,-0.009774,0,-0.00733,-0.004887,-0.181855
2021/05/28/ 09:46:47::696,4,672288,1,1,1,1,24287,-101,0,25,1,41.5,-0.3125,101.986,8,41.5,672288,5.922696,52.394821,-0.3125,0,-1.024128,9.810573,-0.411565,-0.003665,-0.010996,-0.010996,0,-0.010996,-0.003665,-0.411565
2021/05/28/ 09:46:47::696,4,672313,1,1,1,1,24288,-102,0,25,1,41.5,-0.4375,101.987,7.98,41.5,672313,5.922696,52.394821,-0.4375,0,-1.024128,9.647861,-0.162712,0,-0.009774,-0.012217,0,-0.009774,0,-0.162712
2021/05/28/ 09:46:47::696,4,672455,1,1,1,1,24289,-101,0,143,1,41.5,-0.375,101.986,7.99,41.5,672455,5.922696,52.394821,-0.375,0,-1.129412,9.772287,-0.440279,-0.006109,-0.00733,-0.009774,0,-0.00733,-0.006109,-0.440279
2021/05/28/ 09:46:47::696,4,672480,1,1,1,1,24290,-101,0,25,1,41.5,-0.3125,101.986,7.98,41.5,672480,5.922696,52.394821,-0.3125,0,-1.100698,9.705289,-0.200997,-0.003665,-0.008552,-0.012217,0,-0.008552,-0.003665,-0.200997
2021/05/28/ 09:46:47::697,4,672505,1,1,1,1,24291,-101,0,25,1,41.5,-0.375,101.987,7.96,41.5,672505,5.922696,52.394821,-0.375,0,-0.995414,9.724431,-0.162712,-0.003665,-0.009774,-0.010996,0,-0.009774,-0.003665,-0.162712
2021/05/28/ 09:46:47::697,4,672530,1,1,1,1,24292,-101,0,25,1,41.5,-0.375,101.986,7.99,41.5,672530,5.922696,52.394821,-0.375,0,-1.081556,9.552148,-0.066999,-0.003665,-0.009774,-0.009774,0,-0.009774,-0.003665,-0.066999
2021/05/28/ 09:46:47::697,4,692203,1,1,1,1,24293,-100,1,25,1,41.5,-0.375,101.986,7.99,41.5,692203,5.922696,52.394821,-0.375,0,-0.928415,9.954143,-0.172283,-0.004887,-0.009774,-0.010996,0,-0.009774,-0.004887,-0.172283
2021/05/28/ 09:46:47::698,4,672580,1,1,1,1,24294,-99,1,25,1,41.5,-0.375,101.987,7.98,41.5,672580,5.922696,52.394821,-0.375,0,-0.985843,9.657433,-29.479574,16.009556,-0.065973,-0.950506,0,-0.065973,16.009556,-29.479574
2021/05/28/ 09:46:47::698,4,672655,1,1,1,1,24297,-101,0,25,1,41.5,-0.3125,101.986,7.98,41.5,672655,5.922696,52.394821,-0.3125,0,-1.100698,9.676575,-0.287139,-0.003665,-0.00733,-0.010996,0,-0.00733,-0.003665,-0.287139
2021/05/28/ 09:46:47::698,4,672680,1,1,1,1,24298,-102,0,25,1,41.5,-0.375,101.987,7.97,41.5,672680,5.922696,52.394821,-0.375,0,-1.11027,9.705289,-0.344566,-0.001222,-0.009774,-0.010996,0,-0.009774,-0.001222,-0.344566
2021/05/28/ 09:46:47::698,4,672705,1,1,1,1,24299,-102,0,25,1,41.5,-0.375,101.986,7.98,41.5,672705,5.922696,52.394821,-0.375,0,-0.995414,9.676575,-0.267996,-0.001222,-0.008552,-0.012217,0,-0.008552,-0.001222,-0.267996
2021/05/28/ 09:46:47::698,4,672730,1,1,1,1,24300,-102,0,25,1,41.5,-0.375,101.987,7.97,41.5,672730,5.922696,52.394821,-0.375,0,-0.909273,9.667004,-0.248854,-0.001222,-0.009774,-0.009774,0,-0.009774,-0.001222,-0.248854
2021/05/28/ 09:46:47::699,4,672780,1,1,1,1,24301,-102,0,49,1,41.5,-0.3125,101.986,7.99,41.5,672780,5.922696,52.394821,-0.3125,0,-0.89013,9.724431,-0.124427,-0.001222,-0.008552,-0.009774,0,-0.008552,-0.001222,-0.124427
2021/05/28/ 09:46:47::699,4,672805,1,1,1,1,24302,-102,0,25,1,41.5,-0.375,101.986,8,41.5,672805,5.922696,52.394821,-0.375,0,-1.052842,9.868001,-0.267996,-0.006109,-0.009774,-0.008552,0,-0.009774,-0.006109,-0.267996
2021/05/28/ 09:46:47::699,4,672880,1,1,1,1,24305,-101,0,25,1,41.5,-0.3125,101.986,7.99,41.5,672880,5.922696,52.394821,-0.3125,0,-1.052842,9.753145,-0.392423,-0.00733,-0.008552,-0.009774,0,-0.008552,-0.00733,-0.392423
2021/05/28/ 09:46:47::699,4,672905,1,1,1,1,24306,-102,0,25,1,41.5,-0.375,101.986,7.98,41.5,672905,5.922696,52.394821,-0.375,0,-0.918844,9.695718,-0.210568,-0.004887,-0.010996,-0.010996,0,-0.010996,-0.004887,-0.210568
2021/05/28/ 09:46:47::699,4,672980,1,1,1,1,24309,-102,0,25,1,41.5,-0.375,101.986,7.98,41.5,672980,5.922696,52.394821,-0.375,0,-1.062413,9.561719,-0.210568,-0.004887,-0.008552,-0.010996,0,-0.008552,-0.004887,-0.210568
2021/05/28/ 09:46:47::699,4,673005,1,1,1,1,24310,-102,0,25,1,41.5,-0.3125,101.986,7.99,41.5,673005,5.922696,52.394821,-0.3125,0,-0.918844,9.542577,-0.200997,-0.008552,-0.009774,-0.012217,0,-0.009774,-0.008552,-0.200997
2021/05/28/ 09:46:47::699,4,673055,1,1,1,1,24311,-101,0,51,1,41.5,-0.3125,101.986,7.96,41.5,673055,5.922696,52.394821,-0.3125,0,-1.062413,9.820144,-0.277567,-0.003665,-0.009774,-0.012217,0,-0.009774,-0.003665,-0.277567
2021/05/28/ 09:46:47::699,4,673080,1,1,1,1,24312,-101,0,25,1,41.5,-0.3125,101.986,7.97,41.5,673080,5.922696,52.394821,-0.3125,0,-0.928415,9.456435,-0.29671,-0.003665,-0.010996,-0.010996,0,-0.010996,-0.003665,-0.29671
2021/05/28/ 09:46:47::699,4,673105,1,1,1,1,24313,-101,1,25,1,41.5,-0.4375,101.987999,7.99,41.5,673105,5.922696,52.394821,-0.4375,0,-1.091127,9.638289,-0.22014,0,-0.009774,-0.010996,0,-0.009774,0,-0.22014
2021/05/28/ 09:46:47::699,4,673130,1,1,1,1,24314,-101,0,25,1,41.5,-0.375,101.987,7.98,41.5,673130,5.922696,52.394821,-0.375,0,-0.976272,9.49472,-0.172283,-0.006109,-0.009774,-0.014661,0,-0.009774,-0.006109,-0.172283
2021/05/28/ 09:46:47::700,4,673155,1,1,1,1,24315,-101,0,25,1,41.5,-0.3125,101.986,7.98,41.5,673155,5.922696,52.394821,-0.3125,0,-0.81356,9.667004,-0.153141,-0.006109,-0.009774,-0.010996,0,-0.009774,-0.006109,-0.153141
2021/05/28/ 09:46:47::700,4,673272,1,1,1,1,24316,-101,0,117,1,41.5,-0.3125,101.986,7.98,41.5,673272,5.922696,52.394821,-0.3125,0,-1.129412,9.638289,-0.325424,-0.001222,-0.008552,-0.008552,0,-0.008552,-0.001222,-0.325424
2021/05/28/ 09:46:47::701,4,673297,1,1,1,1,24317,-100,0,25,1,41.5,-0.375,101.986,7.98,41.5,673297,5.922696,52.394821,-0.375,0,-0.832702,9.858429,-0.306281,-0.002443,-0.009774,-0.009774,0,-0.009774,-0.002443,-0.306281
2021/05/28/ 09:46:47::701,4,673322,1,1,1,1,24318,-100,0,25,1,41.5,-0.3125,101.986,7.97,41.5,673322,5.922696,52.394821,-0.3125,0,-1.004985,9.848858,-0.325424,0.001222,-0.009774,-0.010996,0,-0.009774,0.001222,-0.325424
2021/05/28/ 09:46:47::719,4,673347,1,1,1,1,24319,-100,0,25,1,41.5,-0.3125,101.986,7.98,41.5,673347,5.922696,52.394821,-0.3125,0,-0.947558,9.753145,-0.239282,-0.003665,-0.00733,-0.009774,0,-0.00733,-0.003665,-0.239282
